
---Writing 20 small files results---
 time: 0.000002362998 for thread 18
 time: 0.000002788991 for thread 19
 time: 0.000002967980 for thread 20
Total time for all threads in execution 9: 0.000007472991

 time: 0.000001853012 for thread 1
 time: 0.000001881999 for thread 2
 time: 0.000002375018 for thread 3
 time: 0.000001862005 for thread 4
 time: 0.000004746020 for thread 5
 time: 0.000001927983 for thread 6
 time: 0.000001815992 for thread 7
 time: 0.000002228015 for thread 8
 time: 0.000002316985 for thread 9
 time: 0.000002857007 for thread 10
 time: 0.000002457004 for thread 11
 time: 0.000002304005 for thread 12
 time: 0.000002193003 for thread 13
 time: 0.000003238005 for thread 14
 time: 0.000002679008 for thread 15
 time: 0.000002729008 for thread 16
 time: 0.000004970992 for thread 17
 time: 0.000002740999 for thread 18
 time: 0.000002374989 for thread 19
 time: 0.000001156004 for thread 20
Total time for all threads in execution 10: 0.000004970992

Average execution time over 10 executions: 0.000185769697

---Writing 20 large files results---

 time: 0.000081122998 for thread 1
 time: 0.000089880981 for thread 2
 time: 0.000109567976 for thread 3
 time: 0.000093674986 for thread 4
 time: 0.000081717008 for thread 5
 time: 0.000079959020 for thread 6
 time: 0.000079471007 for thread 7
 time: 0.002847447991 for thread 8
 time: 0.005153935985 for thread 9
 time: 0.006111836003 for thread 10
 time: 0.000079794991 for thread 11
 time: 0.004146285006 for thread 12
 time: 0.003651267005 for thread 13
 time: 0.005787784001 for thread 14
 time: 0.004279083019 for thread 15
 time: 0.000128116983 for thread 16
 time: 0.000099607016 for thread 17
 time: 0.003485904977 for thread 18
 time: 0.000130141008 for thread 19
 time: 0.000090299000 for thread 20
Total time for all threads in execution 1: 0.006111836003

 time: 0.000095108000 for thread 1
 time: 0.000099335011 for thread 2
 time: 0.000100505975 for thread 3
 time: 0.000098254008 for thread 4
 time: 0.000102896011 for thread 5
 time: 0.000098921999 for thread 6
 time: 0.000096862001 for thread 7
 time: 0.000552129000 for thread 8
 time: 0.000565328985 for thread 9
 time: 0.000097547978 for thread 10
 time: 0.000098479999 for thread 11
 time: 0.001460606989 for thread 12
 time: 0.000099964993 for thread 13
 time: 0.000086690008 for thread 14
 time: 0.000097197975 for thread 15
 time: 0.000119598000 for thread 16
 time: 0.001347976999 for thread 17
 time: 0.001675281994 for thread 18
 time: 0.000100428006 for thread 19
 time: 0.000099252997 for thread 20
Total time for all threads in execution 2: 0.001675281994

 time: 0.000092589995 for thread 1
 time: 0.000103769009 for thread 2
 time: 0.000102735998 for thread 3
 time: 0.000231171027 for thread 4
 time: 0.000095479016 for thread 5
 time: 0.000101850979 for thread 6
 time: 0.000096877018 for thread 7
 time: 0.000099414989 for thread 8
 time: 0.000098296005 for thread 9
 time: 0.000098154997 for thread 10
 time: 0.000091841997 for thread 11
 time: 0.000103614992 for thread 12
 time: 0.000099918019 for thread 13
 time: 0.000097648008 for thread 14
 time: 0.000153251021 for thread 15
 time: 0.000124419021 for thread 16
 time: 0.000136324990 for thread 17
 time: 0.000094906980 for thread 18
 time: 0.000403195008 for thread 19
 time: 0.000094103976 for thread 20
Total time for all threads in execution 3: 0.000403195008

 time: 0.000084661006 for thread 1
 time: 0.000085601991 for thread 2
 time: 0.000088413013 for thread 3
 time: 0.000090471003 for thread 4
 time: 0.000140701013 for thread 5
 time: 0.000091419992 for thread 6
 time: 0.000085279986 for thread 7
 time: 0.000083761988 for thread 8
 time: 0.000090456015 for thread 9
 time: 0.000089912995 for thread 10
 time: 0.000099794008 for thread 11
 time: 0.000090399990 for thread 12
 time: 0.000094607996 for thread 13
 time: 0.000107108004 for thread 14
 time: 0.000088781002 for thread 15
 time: 0.000096926000 for thread 16
 time: 0.000087000022 for thread 17
 time: 0.000088571018 for thread 18
 time: 0.000087736000 for thread 19
 time: 0.000085970009 for thread 20
Total time for all threads in execution 4: 0.000140701013

 time: 0.000113772985 for thread 1
 time: 0.000114683993 for thread 2
 time: 0.000121171994 for thread 3
 time: 0.000094544986 for thread 4
 time: 0.005864723003 for thread 5
 time: 0.000096047996 for thread 6
 time: 0.000095958007 for thread 7
 time: 0.000127826992 for thread 8
 time: 0.000093680981 for thread 9
 time: 0.000097305980 for thread 10
 time: 0.000097333017 for thread 11
 time: 0.000098846998 for thread 12
 time: 0.000108536013 for thread 13
 time: 0.000102877006 for thread 14
 time: 0.000105729996 for thread 15
 time: 0.000093020004 for thread 16
 time: 0.000086468994 for thread 17
 time: 0.000100081001 for thread 18
 time: 0.000093200011 for thread 19
 time: 0.000088805013 for thread 20
Total time for all threads in execution 5: 0.005864723003

 time: 0.001007782004 for thread 1
 time: 0.000107383006 for thread 2
 time: 0.001068154001 for thread 3
 time: 0.000875843019 for thread 4
 time: 0.000103527011 for thread 5
 time: 0.000803973002 for thread 6
 time: 0.000483231008 for thread 7
 time: 0.000994431000 for thread 8
 time: 0.000098838005 for thread 9
 time: 0.000095925003 for thread 10
 time: 0.000836636027 for thread 11
 time: 0.000750306004 for thread 12
 time: 0.001082778996 for thread 13
 time: 0.000847609976 for thread 14
 time: 0.001037699985 for thread 15
 time: 0.000101951999 for thread 16
 time: 0.000098201010 for thread 17
 time: 0.000087879976 for thread 18
 time: 0.000125430990 for thread 19
 time: 0.000101565995 for thread 20
Total time for all threads in execution 6: 0.001082778996

 time: 0.000095777010 for thread 1
 time: 0.001166228991 for thread 2
 time: 0.000103197002 for thread 3
 time: 0.000110855995 for thread 4
 time: 0.000104889012 for thread 5
 time: 0.000093398005 for thread 6
 time: 0.000102205988 for thread 7
 time: 0.000110476016 for thread 8
 time: 0.000194521999 for thread 9
 time: 0.000129841996 for thread 10
 time: 0.000088322995 for thread 11
 time: 0.000091845985 for thread 12
 time: 0.000096914999 for thread 13
 time: 0.000110365974 for thread 14
 time: 0.000107806991 for thread 15
 time: 0.000084419007 for thread 16
 time: 0.000094336981 for thread 17
 time: 0.000089936977 for thread 18
 time: 0.000086593005 for thread 19
 time: 0.000105090003 for thread 20
Total time for all threads in execution 7: 0.001166228991

 time: 0.000097821990 for thread 1
 time: 0.000103302998 for thread 2
 time: 0.000094418996 for thread 3
 time: 0.000116289011 for thread 4
 time: 0.000123435020 for thread 5
 time: 0.000103158993 for thread 6
 time: 0.000100818987 for thread 7
 time: 0.000516444998 for thread 8
 time: 0.000096406002 for thread 9
 time: 0.000424338010 for thread 10
 time: 0.000096937991 for thread 11
 time: 0.000517156994 for thread 12
 time: 0.000104202976 for thread 13
 time: 0.000095446012 for thread 14
 time: 0.000133091991 for thread 15
 time: 0.000107628992 for thread 16
 time: 0.000421949982 for thread 17
 time: 0.000569019001 for thread 18
 time: 0.000092413014 for thread 19
 time: 0.000102951017 for thread 20
Total time for all threads in execution 8: 0.000569019001

 time: 0.000384015992 for thread 1
 time: 0.000113374001 for thread 2
 time: 0.000119396020 for thread 3
 time: 0.000090844987 for thread 4
 time: 0.000766768004 for thread 5
 time: 0.000096495991 for thread 6
 time: 0.000089948997 for thread 7
 time: 0.000085870997 for thread 8
 time: 0.000104975014 for thread 9
 time: 0.000279981003 for thread 10
 time: 0.000086816988 for thread 11
 time: 0.000109252986 for thread 12
 time: 0.000090877002 for thread 13
 time: 0.000097179000 for thread 14
 time: 0.000105136976 for thread 15
 time: 0.000092100003 for thread 16
 time: 0.000090532994 for thread 17
 time: 0.000178450020 for thread 18
 time: 0.000123951002 for thread 19
 time: 0.000088621018 for thread 20
Total time for all threads in execution 9: 0.000766768004

 time: 0.000098326011 for thread 1
 time: 0.000669429981 for thread 2
 time: 0.000533441023 for thread 3
 time: 0.000669617992 for thread 4
 time: 0.000106441992 for thread 5
 time: 0.000101043988 for thread 6
 time: 0.000582960987 for thread 7
 time: 0.000101476006 for thread 8
 time: 0.000673803006 for thread 9
 time: 0.000109235989 for thread 10
 time: 0.000102795020 for thread 11
 time: 0.000164958998 for thread 12
 time: 0.000114378985 for thread 13
 time: 0.000099277997 for thread 14
 time: 0.000208365003 for thread 15
 time: 0.000617528014 for thread 16
 time: 0.000100680016 for thread 17
 time: 0.000135970011 for thread 18
 time: 0.000099233002 for thread 19
 time: 0.000098911987 for thread 20
Total time for all threads in execution 10: 0.000673803006

Average execution time over 10 executions: 0.001845433502

---Writing, reading 5 small each and writing, reading 5 large each results---

 time: 0.000003285008 for thread 1
 time: 0.000003024004 for thread 2
 time: 0.000008770003 for thread 3
 time: 0.000002563000 for thread 4
 time: 0.000003887981 for thread 5
 time: 0.000009926007 for thread 6
 time: 0.000018330000 for thread 7
 time: 0.000008483999 for thread 8
 time: 0.000021295011 for thread 9
 time: 0.000010123011 for thread 10
 time: 0.000454125984 for thread 11
 time: 0.000136852002 for thread 12
 time: 0.000100471021 for thread 13
 time: 0.000721460005 for thread 14
